title,address,distance,link,beds,baths,price,sqft,availability,lease_terms,amenities,per bedroom pricing,call for rent,price_avg,dishwasher,washer/dryer in unit,has balcony,gym,internet,pool,near bus stop,furnished,parking,laundry available,pet friendly,individual lease,disability access
The Bennett,"8005 Russell Rd, Charlottesville, VA 22903",0.5,https://offgroundshousing.student.virginia.edu/housing/property/the-bennett/krp5ngb,1.0,1.0,Call for Rent,621,Not Available,"12 month lease, 3 Month lease, 6 Month lease, 8 Month, 9 month lease, Flexible/Other lease, Short-Term lease","Clubhouse, Community Lounge, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Outdoor Rec Space, Pool, Property Manager On-Site, Walking/Jogging Trails, Furnished, Kitchen, Patio, Balcony, Porch or Deck, Refrigerator, Stove, Balconies in select residences*, EV Car Charging Stations, Full size GE™ washer/dryer, Golf Simulator, Micromarket, Outdoor social spaces with fire pits, hammocks, trellis swings and amphitheater seating, Pickleball Court, Stainless steel GE appliances, Tot lots, Two clubhouses with co-working lounges, Two resort-style swimming pools and grilling stations, Two state-of-the-art fitness centers and yoga studios, Walking trails with on-property access to Rivanna Trail",0,1,,0,0,1,1,0,1,0,1,0,0,0,0,0
The Bennett,"8005 Russell Rd, Charlottesville, VA 22903",0.5,https://offgroundshousing.student.virginia.edu/housing/property/the-bennett/krp5ngb,1.0,1.0,Call for Rent,667,Not Available,"12 month lease, 3 Month lease, 6 Month lease, 8 Month, 9 month lease, Flexible/Other lease, Short-Term lease","Clubhouse, Community Lounge, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Outdoor Rec Space, Pool, Property Manager On-Site, Walking/Jogging Trails, Furnished, Kitchen, Patio, Balcony, Porch or Deck, Refrigerator, Stove, Balconies in select residences*, EV Car Charging Stations, Full size GE™ washer/dryer, Golf Simulator, Micromarket, Outdoor social spaces with fire pits, hammocks, trellis swings and amphitheater seating, Pickleball Court, Stainless steel GE appliances, Tot lots, Two clubhouses with co-working lounges, Two resort-style swimming pools and grilling stations, Two state-of-the-art fitness centers and yoga studios, Walking trails with on-property access to Rivanna Trail",0,1,,0,0,1,1,0,1,0,1,0,0,0,0,0
Sunset Avenue 2BR Duplex - Luxurious living for an affordable price!,"106 Sunset Avenue, Charlottesville, VA 22903",0.5,https://offgroundshousing.student.virginia.edu/housing/property/sunset-avenue-2br-duplex-luxurious-living-for-an-affordable-price/ocp8dy97l2,2.0,1.0,"$2,025
Plus Fees
12 Month Lease",892,7/1/26,12 month lease,"Air Conditioning, Dishwasher, Hardwood Floors, Patio, Balcony, Porch or Deck, Fitness Room, International Student Friendly, Washer/Dryer in Unit",0,0,2025.0,1,1,1,1,0,0,0,0,0,0,0,0,0
Sunset Avenue 2BR Duplex - Luxurious living for an affordable price!,"106 Sunset Avenue, Charlottesville, VA 22903",0.5,https://offgroundshousing.student.virginia.edu/housing/property/sunset-avenue-2br-duplex-luxurious-living-for-an-affordable-price/ocp8dy97l2,2.0,1.0,"$2,025
Plus Fees
12 Month Lease",892,8/15/26,12 month lease,"Air Conditioning, Dishwasher, Hardwood Floors, Patio, Balcony, Porch or Deck, Fitness Room, International Student Friendly, Washer/Dryer in Unit",0,0,2025.0,1,1,1,1,0,0,0,0,0,0,0,0,0
Altoview Apartment Homes,"310 Fisher St, Charlottesville, VA 22911",4.1,https://offgroundshousing.student.virginia.edu/housing/property/altoview-apartment-homes/k98sgs8,1.0,1.0,"Total Monthly Price
$1,967 - $2,272",714,Available Now,"12 month lease, Flexible/Other lease","Air Conditioning, Carpet, Ceiling Fans, Dining Room, Dishwasher, Extra Storage, Garbage Disposal, Granite Countertops, Heat - Central, Heat - Floor/Wall, Heating, Kitchen, Laminate Floors, Microwave, Patio, Balcony, Porch or Deck, BBQ/BBQ Area, Business Center, Clubhouse, Community Lounge, Conference Room, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Outdoor Rec Space, Pool, Property Manager On-Site, Walking/Jogging Trails, Washer/Dryer in Unit, 1st Floor Premium, 24/7 Amazon Hub, Cozy fire pit, Cyber cafe, Detached garages available, Elevator Building, Grilling Area, Outdoor cooking & dining area, Pet Spa, Resort style swimming pool, Top Floor, Yoga/aerobic studio",0,0,2119.5,1,1,1,1,0,1,0,0,1,0,1,0,0
Altoview Apartment Homes,"310 Fisher St, Charlottesville, VA 22911",4.1,https://offgroundshousing.student.virginia.edu/housing/property/altoview-apartment-homes/k98sgs8,1.0,1.0,"Total Monthly Price
$2,038 - $2,297",896,Available Now,"12 month lease, Flexible/Other lease","Air Conditioning, Carpet, Ceiling Fans, Dining Room, Dishwasher, Extra Storage, Garbage Disposal, Granite Countertops, Heat - Central, Heat - Floor/Wall, Heating, Kitchen, Laminate Floors, Microwave, Patio, Balcony, Porch or Deck, BBQ/BBQ Area, Business Center, Clubhouse, Community Lounge, Conference Room, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Outdoor Rec Space, Pool, Property Manager On-Site, Walking/Jogging Trails, Washer/Dryer in Unit, 1st Floor Premium, 24/7 Amazon Hub, Cozy fire pit, Cyber cafe, Detached garages available, Elevator Building, Grilling Area, Outdoor cooking & dining area, Pet Spa, Resort style swimming pool, Top Floor, Yoga/aerobic studio",0,0,2167.5,1,1,1,1,0,1,0,0,1,0,1,0,0
Altoview Apartment Homes,"310 Fisher St, Charlottesville, VA 22911",4.1,https://offgroundshousing.student.virginia.edu/housing/property/altoview-apartment-homes/k98sgs8,1.0,1.0,"Total Monthly Price
$2,037",645,4/14/26,"12 month lease, Flexible/Other lease","Air Conditioning, Carpet, Ceiling Fans, Dining Room, Dishwasher, Extra Storage, Garbage Disposal, Granite Countertops, Heat - Central, Heat - Floor/Wall, Heating, Kitchen, Laminate Floors, Microwave, Patio, Balcony, Porch or Deck, BBQ/BBQ Area, Business Center, Clubhouse, Community Lounge, Conference Room, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Outdoor Rec Space, Pool, Property Manager On-Site, Walking/Jogging Trails, Washer/Dryer in Unit, 1st Floor Premium, 24/7 Amazon Hub, Cozy fire pit, Cyber cafe, Detached garages available, Elevator Building, Grilling Area, Outdoor cooking & dining area, Pet Spa, Resort style swimming pool, Top Floor, Yoga/aerobic studio",0,0,2037.0,1,1,1,1,0,1,0,0,1,0,1,0,0
Altoview Apartment Homes,"310 Fisher St, Charlottesville, VA 22911",4.1,https://offgroundshousing.student.virginia.edu/housing/property/altoview-apartment-homes/k98sgs8,2.0,2.0,"Total Monthly Price
$2,372 - $2,522","1,153",4/8/26,"12 month lease, Flexible/Other lease","Air Conditioning, Carpet, Ceiling Fans, Dining Room, Dishwasher, Extra Storage, Garbage Disposal, Granite Countertops, Heat - Central, Heat - Floor/Wall, Heating, Kitchen, Laminate Floors, Microwave, Patio, Balcony, Porch or Deck, BBQ/BBQ Area, Business Center, Clubhouse, Community Lounge, Conference Room, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Outdoor Rec Space, Pool, Property Manager On-Site, Walking/Jogging Trails, Washer/Dryer in Unit, 1st Floor Premium, 24/7 Amazon Hub, Cozy fire pit, Cyber cafe, Detached garages available, Elevator Building, Grilling Area, Outdoor cooking & dining area, Pet Spa, Resort style swimming pool, Top Floor, Yoga/aerobic studio",0,0,2447.0,1,1,1,1,0,1,0,0,1,0,1,0,0
Altoview Apartment Homes,"310 Fisher St, Charlottesville, VA 22911",4.1,https://offgroundshousing.student.virginia.edu/housing/property/altoview-apartment-homes/k98sgs8,2.0,2.0,"Total Monthly Price
$2,257","1,036",Not Available,"12 month lease, Flexible/Other lease","Air Conditioning, Carpet, Ceiling Fans, Dining Room, Dishwasher, Extra Storage, Garbage Disposal, Granite Countertops, Heat - Central, Heat - Floor/Wall, Heating, Kitchen, Laminate Floors, Microwave, Patio, Balcony, Porch or Deck, BBQ/BBQ Area, Business Center, Clubhouse, Community Lounge, Conference Room, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Outdoor Rec Space, Pool, Property Manager On-Site, Walking/Jogging Trails, Washer/Dryer in Unit, 1st Floor Premium, 24/7 Amazon Hub, Cozy fire pit, Cyber cafe, Detached garages available, Elevator Building, Grilling Area, Outdoor cooking & dining area, Pet Spa, Resort style swimming pool, Top Floor, Yoga/aerobic studio",0,0,2257.0,1,1,1,1,0,1,0,0,1,0,1,0,0
Altoview Apartment Homes,"310 Fisher St, Charlottesville, VA 22911",4.1,https://offgroundshousing.student.virginia.edu/housing/property/altoview-apartment-homes/k98sgs8,2.0,2.0,"Total Monthly Price
$2,552","1,218",Not Available,"12 month lease, Flexible/Other lease","Air Conditioning, Carpet, Ceiling Fans, Dining Room, Dishwasher, Extra Storage, Garbage Disposal, Granite Countertops, Heat - Central, Heat - Floor/Wall, Heating, Kitchen, Laminate Floors, Microwave, Patio, Balcony, Porch or Deck, BBQ/BBQ Area, Business Center, Clubhouse, Community Lounge, Conference Room, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Outdoor Rec Space, Pool, Property Manager On-Site, Walking/Jogging Trails, Washer/Dryer in Unit, 1st Floor Premium, 24/7 Amazon Hub, Cozy fire pit, Cyber cafe, Detached garages available, Elevator Building, Grilling Area, Outdoor cooking & dining area, Pet Spa, Resort style swimming pool, Top Floor, Yoga/aerobic studio",0,0,2552.0,1,1,1,1,0,1,0,0,1,0,1,0,0
